"Data";"ABA";"Evento";"Código_Rolado";"Qtd";"Preço_Saida";"Código_Entrada";"Preço_Entrada";"PL_Real";"PL_Estimado";"Dif_%";"Obs"
"13/04/2026 10:22:14";"BOVA11";"OPEN";"BOVAE195";"5000";"";"BOVAE195";"1,74";"";"";"";"[EVENT_ID=b6948e36] Nova posição"
"13/04/2026 10:22:14";"BOVA11";"OPEN";"BOVAQ164";"10000";"";"BOVAQ164";"1,75";"";"";"";"[EVENT_ID=aa2d48b0] Nova posição"
"13/04/2026 10:22:14";"BOVA11";"OPEN";"BOVAE166";"4000";"";"BOVAE166";"26,445";"";"";"";"[EVENT_ID=6a58108a] Nova posição"
"13/04/2026 10:22:14";"BOVA11";"OPEN";"BOVAQ195";"4000";"";"BOVAQ195";"6,26";"";"";"";"[EVENT_ID=6f8b8eb1] Nova posição"
"13/04/2026 10:22:14";"PRIO3";"OPEN";"PRIOP600";"1700";"";"PRIOP600";"0,46";"";"";"";"[EVENT_ID=0988d366] Nova posição"
"13/04/2026 10:22:14";"PRIO3";"OPEN";"PRIOE515";"1700";"";"PRIOE515";"16,64";"";"";"";"[EVENT_ID=5278da7c] Nova posição"
"13/04/2026 10:22:14";"PRIO3";"OPEN";"PRIOQ720";"1700";"";"PRIOQ720";"4,87";"";"";"";"[EVENT_ID=abdd3ceb] Nova posição"
"13/04/2026 10:22:14";"PRIO3";"OPEN";"PRIOD750";"1000";"";"PRIOD750";"0,41";"";"";"";"[EVENT_ID=8c336e8f] Nova posição"
"13/04/2026 10:22:14";"SMAL11";"OPEN";"SMALP970";"1800";"";"SMALP970";"0,37";"";"";"";"[EVENT_ID=10a0d931] Nova posição"
"13/04/2026 10:22:14";"SMAL11";"OPEN";"SMALQ119";"1600";"";"SMALQ119";"2,35";"";"";"";"[EVENT_ID=c44f1611] Nova posição"
"13/04/2026 10:22:14";"SMAL11";"OPEN";"SMALE119";"1600";"";"SMALE119";"7,56";"";"";"";"[EVENT_ID=8b10e83b] Nova posição"
"13/04/2026 10:22:14";"SMAL11";"OPEN";"SMALD139";"1800";"";"SMALD139";"0,2158";"";"";"";"[EVENT_ID=fef5efd2] Nova posição"
"13/04/2026 10:22:14";"SBSP3";"OPEN";"SBSPQ166";"1200";"";"SBSPQ166";"4,61";"";"";"";"[EVENT_ID=11665ffb] Nova posição"
"13/04/2026 10:22:14";"SBSP3";"OPEN";"SBSPE175";"2300";"";"SBSPE175";"1,48";"";"";"";"[EVENT_ID=22b814bd] Nova posição"
"13/04/2026 10:22:14";"SBSP3";"OPEN";"SBSPQ131";"2300";"";"SBSPQ131";"0,96";"";"";"";"[EVENT_ID=3318e1e5] Nova posição"
"13/04/2026 10:22:14";"SBSP3";"OPEN";"SBSPE155";"1200";"";"SBSPE155";"7,87";"";"";"";"[EVENT_ID=455e4a00] Nova posição"
"13/04/2026 10:22:14";"ABEV3";"OPEN";"ABEVQ134";"1700";"";"ABEVQ134";"0,03";"";"";"";"[EVENT_ID=2a115d03] Nova posição"
"13/04/2026 10:22:14";"ABEV3";"OPEN";"ABEVE186";"1700";"";"ABEVE186";"0,03";"";"";"";"[EVENT_ID=be68a320] Nova posição"
"13/04/2026 10:22:14";"ABEV3";"OPEN";"ABEVQ161";"1800";"";"ABEVQ161";"0,5";"";"";"";"[EVENT_ID=9f9fc48f] Nova posição"
"13/04/2026 10:22:14";"ABEV3";"OPEN";"ABEVE161";"1800";"";"ABEVE161";"0,55";"";"";"";"[EVENT_ID=8d069b49] Nova posição"
